title,vendor,ingredients_cleaned,description_cleaned,sold_count,90 Day Repurchase Rate
"""Drizzle"" Extra Virgin Olive Oil",Graza,extra virgin olive oil,"early-harvest Picual olives, finishing dishes, extra virgin olive oil, oil for drizzling, general audience",0,0.0
"""Sizzle"" Extra Virgin Olive Oil",Graza,extra virgin olive oil,"mid-harvest Picual olives, 100% extra virgin olive oil, high-heat cooking, sautéing, roasting, frying, oil, general audience",0,0.0
(Re)Setting Refreshing Mist SPF 40 PA+++,Supergoop!,"english field mustard, chinawood oil, rosemary, mint, avobenzone, homosalate, octisalate, octocrylene, alcohol denat, bisabolol, brassica campestris oil, aleurites fordi oil, butyloctyl salicylate, caprylic triglyceride, capryloyl glycerin, sebacic acid, dicaprylyl carbonate, diethylhexyl syringylidenemalonate, diheptyl succinate, diisooctyl succinate, ethyl ferulate, isododecane, lauroyl lysine, peppermint oil, spearmint leaf oil, nylon-12, rosmarinus officinalis leaf oil, silica caprylyl silylate","rosemary, mint, diffusing powder complex, sets makeup, SPF reapplication, hydration, refreshes makeup, water- and sweat-resistant, face mist, normal/combination/dry skin types",0,0.0
01 Restore,YourGut,"lactobacillus acidophilus, lactobacillus rhamnosus, bifidobacterium infantis, bifidobacterium bifidum, lactobacillus plantarum, bifidobacterium breve, streptococcus thermophilus, lactobacillus paracasei, fructooligosaccharides, inulin","live cultures, prebiotics, inulin, fructooligosaccharides, support gut bacteria, capsule, adults",16,0.0
02 Defence,YourGut,"lactobacillus paracasei, lactobacillus plantarum, lactobacillus acidophilus, lactobacillus casei, vitamin d, vitamin k2, vitamin c, zinc, beta glucan, reishi mushroom, n-acetyl-l-cysteine, black cumin seed, ginger, elderberry, fructo-oligosaccharides, olive leaf, propolis, quercetin","live cultures, vitamin D, vitamin C, zinc, black cumin seed, elderberry, reishi mushroom, immune health support, bone maintenance, oxidative stress protection, capsule, adults",13,0.0
03 Glow,YourGut,"lactobacillus rhamnosus, bifidobacterium longum, lactobacillus plantarum, lactobacillus reuteri, lactobacillus acidophilus, bifidobacterium infantis, lactobacillus brevis, lactobacillus casei, vitamin c, biotin, zinc, copper, methylsulfonylmethane, haskap berry, inulin, rosehip, fructooligosaccharides, acerola cherry, flaxseed, butterfly pea flower, grape seed, hyaluronic acid, pine bark","vitamin C, biotin, zinc, copper, botanicals, live cultures, plant extracts, support maintenance of normal skin, hair, nails, antioxidant protection, capsule, adults",18,0.0
1.5kg Neo-Hex Dumbbells,Heka,,"cast iron, neoprene, strength training, group exercise workouts, dumbbells, adults",17,0.0
100% Cacao,Ombar,"cacao,cocoa solids","unroasted cacao, 100% Ecuadorian cacao, organic, vegan, fair trade, chocolate bar, chocolate lovers",1089,0.405904
100% Cold Pressed Extra Virgin Avocado Oil,Hunter & Gather,avocado oil,"avocado oil, cooking, maintaining normal blood cholesterol levels, oil",523,0.461538
100% Grass Fed Beef Sticks - Jalapeno,Paleovalley,"beef, water, sea salt, dextrose, celery, jalapeño, black pepper, cayenne pepper, garlic, coriander, lactic acid, beef collagen","100% grass-fed beef, organic jalapeño, organic garlic, muscle growth and maintenance, snack, stick, active individuals, keto and paleo dieters",471,0.465686
100% Grass Fed Beef Sticks - Original,Paleovalley,"beef, water, sea salt, dextrose, celery juice, black pepper, red pepper, garlic, coriander, lactic acid starter culture, beef collagen casing","100% grass-fed beef, organic spices, protein for muscle growth and maintenance, snack, active lifestyles",2498,0.494737
100% Grass Fed Beef Sticks - Teriyaki,Paleovalley,"beef, honey, sea salt, ginger, paprika, nutmeg, onion, fenugreek, dextrose, coconut sap, garlic, cayenne pepper, celery juice, lactic acid, beef collagen casing","100% grass-fed beef, organic teriyaki spices, high-protein snack, keto and paleo lifestyles, snack sticks",401,0.45614
100% Grass Fed Bone Broth Protein Powder - Chocolate,Paleovalley,"beef bones, coconut milk powder, cacao bean, chocolate, luo han guo, himalayan pink salt","grass-fed beef collagen, amino acids, protein; muscle growth, maintain normal bones; powder; general adult audience",0,0.0
